Date,AAPL,AMZN,AXP,BAC,GOOG,GS,Unknown,MS,MSFT
2015-01-02,27.332500457763672,15.425999641418457,93.0199966430664,17.899999618530273,26.16865348815918,194.41000366210938,62.4900016784668,38.709999084472656,46.7599983215332
2015-01-05,26.5625,15.10949993133545,90.55999755859375,17.3799991607666,25.623151779174805,188.33999633789062,60.54999923706055,37.5,46.33000183105469
2015-01-06,26.565000534057617,14.76449966430664,88.62999725341797,16.860000610351562,25.029281616210938,184.52999877929688,58.97999954223633,36.41999816894531,45.650001525878906
2015-01-07,26.9375,14.920999526977539,90.30000305175781,16.940000534057617,24.986400604248047,187.27999877929688,59.06999969482422,36.939998626708984,46.22999954223633
2015-01-08,27.97249984741211,15.02299976348877,91.58000183105469,17.290000915527344,25.065183639526367,190.27000427246094,60.38999938964844,37.4900016784668,47.59000015258789
2015-01-09,28.002500534057617,14.846500396728516,90.41999816894531,16.979999542236328,24.740575790405273,187.35000610351562,59.34000015258789,36.880001068115234,47.189998626708984
2015-01-12,27.3125,14.570500373840332,89.5,16.68000030517578,24.560070037841797,185.07000732421875,58.83000183105469,36.369998931884766,46.599998474121094
2015-01-13,27.55500030517578,14.737000465393066,89.2300033569336,16.450000762939453,24.741073608398438,184.92999267578125,58.84000015258789,36.029998779296875,46.36000061035156
2015-01-14,27.450000762939453,14.66349983215332,87.06999969482422,16.040000915527344,24.974931716918945,180.22999572753906,56.810001373291016,35.209999084472656,45.959999084472656
2015-01-15,26.704999923706055,14.34749984741211,85.87999725341797,15.199999809265137,25.02080535888672,178.49000549316406,54.9900016784668,34.58000183105469,45.47999954223633
2015-01-16,26.497499465942383,14.536999702453613,86.04000091552734,15.380000114440918,25.334444046020508,177.22999572753906,55.93000030517578,34.88999938964844,46.2400016784668
2015-01-20,27.18000030517578,14.472000122070312,87.26000213623047,15.260000228881836,25.275606155395508,175.6300048828125,55.709999084472656,34.75,46.38999938964844
2015-01-21,27.387500762939453,14.862500190734863,87.66999816894531,15.40999984741211,25.83108139038086,177.14999389648438,55.88999938964844,34.72999954223633,45.91999816894531
2015-01-22,28.100000381469727,15.515999794006348,84.37000274658203,16.09000015258789,26.64634132385254,182.0399932861328,57.59000015258789,35.529998779296875,47.130001068115234
2015-01-23,28.2450008392334,15.619500160217285,84.12999725341797,15.729999542236328,26.923580169677734,180.49000549316406,56.68000030517578,35.150001525878906,47.18000030517578
2015-01-26,28.274999618530273,15.482999801635742,83.30000305175781,15.850000381469727,26.68722915649414,180.4199981689453,56.77000045776367,35.11000061035156,47.0099983215332
2015-01-27,27.28499984741211,15.337499618530273,82.4000015258789,15.630000114440918,25.86050033569336,176.49000549316406,56.20000076293945,34.65999984741211,42.65999984741211
2015-01-28,28.827499389648438,15.195500373840332,81.7300033569336,15.199999809265137,25.4301815032959,173.0500030517578,54.75,33.77000045776367,41.189998626708984
2015-01-29,29.725000381469727,15.58899974822998,82.0,15.430000305175781,25.463090896606445,175.99000549316406,55.66999816894531,34.369998931884766,42.0099983215332
2015-01-30,29.290000915527344,17.726499557495117,80.69000244140625,15.149999618530273,26.65282440185547,172.41000366210938,54.380001068115234,33.810001373291016,40.400001525878906
2015-02-02,29.657499313354492,18.223499298095703,82.12999725341797,15.460000038146973,26.351652145385742,175.49000549316406,55.470001220703125,34.41999816894531,41.279998779296875
2015-02-03,29.662500381469727,18.177499771118164,83.7300033569336,15.890000343322754,26.38954734802246,180.24000549316406,56.720001220703125,35.040000915527344,41.599998474121094
2015-02-04,29.889999389648438,18.237499237060547,83.61000061035156,15.789999961853027,26.066434860229492,178.77999877929688,56.380001068115234,34.77000045776367,41.84000015258789
2015-02-05,29.985000610351562,18.694499969482422,84.7300033569336,15.970000267028809,26.306774139404297,180.77000427246094,56.77000045776367,34.93000030517578,42.45000076293945
2015-02-06,29.732500076293945,18.714000701904297,85.01000213623047,16.489999771118164,26.477306365966797,183.42999267578125,57.88999938964844,35.790000915527344,42.40999984741211
2015-02-09,29.93000030517578,18.527999877929688,84.9800033569336,16.350000381469727,26.31924057006836,182.22000122070312,57.81999969482422,35.630001068115234,42.36000061035156
2015-02-10,30.5049991607666,18.649999618530273,85.83999633789062,16.420000076293945,26.77349281311035,184.55999755859375,58.459999084472656,36.15999984741211,42.599998474121094
2015-02-11,31.219999313354492,18.756999969482422,86.01000213623047,16.360000610351562,26.725126266479492,187.64999389648438,58.369998931884766,36.369998931884766,42.380001068115234
2015-02-12,31.614999771118164,18.85849952697754,80.4800033569336,16.670000076293945,27.072172164916992,189.77999877929688,59.56999969482422,36.900001525878906,43.09000015258789
2015-02-13,31.770000457763672,19.09149932861328,78.08000183105469,16.610000610351562,27.375341415405273,189.0,59.66999816894531,36.779998779296875,43.869998931884766
2015-02-17,31.957500457763672,18.771499633789062,79.08000183105469,16.6299991607666,27.067686080932617,190.02000427246094,60.099998474121094,36.91999816894531,43.58000183105469
2015-02-18,32.18000030517578,18.668500900268555,79.77999877929688,16.299999237060547,26.911115646362305,188.6699981689453,59.369998931884766,36.369998931884766,43.529998779296875
2015-02-19,32.11249923706055,18.950000762939453,78.4000015258789,16.209999084472656,27.069181442260742,189.11000061035156,59.22999954223633,36.33000183105469,43.5
2015-02-20,32.375,19.183000564575195,79.83000183105469,16.3799991607666,26.87371826171875,191.50999450683594,59.79999923706055,36.7400016784668,43.86000061035156
2015-02-23,33.25,19.006999969482422,80.30000305175781,16.200000762939453,26.522682189941406,190.30999755859375,59.349998474121094,36.27000045776367,44.150001525878906
